player,club,age,pos,pos_group,min,market_value,goals_per90,xg_90,xag_90,output_index_v0,value_index_mv,value_index_mv_log
Craig Dawson,Wolverhampton,33.0,DF,DEF,2209.0,2000000.0,0.04081632653061224,0.06,0.06,0.015791838778723463,1.4211375877022185,0.02068959476764279
Cristian Romero,Tottenham Hotspur,25.0,DF,DEF,2790.0,60000000.0,0.16129032258064516,0.11,0.01,0.036631691849741174,0.10989474586498595,0.03887868307991885
Curtis Jones,Liverpool,22.0,MF,MID,1167.0,35000000.0,0.07692307692307693,0.2,0.05,0.03017149620612766,0.1551668967731874,0.03301582763113808
Daiki Hashioka,Luton Town,24.0,DF,DEF,595.0,2000000.0,0.0,0.02,0.1,0.009121272973603312,0.8208406919620216,0.011950187956779506
Dan Burn,Newcastle United,31.0,DF,DEF,2726.0,8000000.0,0.066006600660066,0.1,0.04,0.02122629172898166,0.47758081833367483,0.02538408335334574
Dane Scarlett,Tottenham Hotspur,19.0,FW,ATT,22.0,1800000.0,0.0,0.0,0.0,0.0,0.0,0.0
Dango Ouattara,Bournemouth,21.0,"FW,DF",ATT,1229.0,20000000.0,0.07299270072992702,0.19,0.11,0.033574563174060205,0.3021683490514004,0.03796270584904277
Daniel Bentley,Wolverhampton,30.0,GK,GK,383.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Gore,Manchester United,18.0,MF,MID,1.0,900000.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Jebbison,Sheffield United,19.0,FW,ATT,21.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Muñoz,Crystal Palace,27.0,"DF,MF",MID,1439.0,18000000.0,0.0,0.08,0.15,0.016777884691644603,0.16777716914475457,0.01909037215104517
Danilo,Nottingham Forest,22.0,MF,MID,1792.0,28000000.0,0.10050251256281408,0.09,0.08,0.02996951397518766,0.19265992274098875,0.03322156304276386
Danny Ings,West Ham United,31.0,FW,ATT,404.0,8000000.0,0.2222222222222222,0.28,0.06,0.06206719100760644,1.3964803768626652,0.07422487027698545
Danny Welbeck,Brighton,32.0,"FW,MF",ATT,1693.0,5000000.0,0.26595744680851063,0.28,0.09,0.07230439629432166,2.602864563471295,0.08910201885444533
Dara O'Shea,Burnley,24.0,DF,DEF,2892.0,13000000.0,0.09345794392523364,0.02,0.06,0.022790549720973413,0.315557088423023,0.02644693245715322
Darwin Núñez,Liverpool,24.0,FW,ATT,2047.0,70000000.0,0.4845814977973568,0.72,0.27,0.15309049667747526,0.3936602649013981,0.16109453713964822
David Brooks,Bournemouth,26.0,"FW,MF",ATT,282.0,8000000.0,0.3225806451612903,0.7,0.33,0.12742168285081595,2.8669233583677953,0.15238095564721013
David Datro Fofana,Burnley,20.0,FW,ATT,879.0,12000000.0,0.4081632653061224,0.46,0.19,0.1169298373272231,1.7539212510895803,0.13635567550941352
David Ozoh,Crystal Palace,18.0,"MF,DF",MID,156.0,700000.0,0.0,0.0,0.0,0.0,0.0,0.0
David Raya,Arsenal,27.0,GK,GK,2880.0,35000000.0,0.0,0.0,0.0,0.0,0.0,0.0
