player,club,age,min,market_value,price_tier,goals_per90,xg_90,xag_90,output_index_v0,value_index_mv,value_index_mv_log
Callum Wilson,Newcastle United,31.000000,991.000000,13000000.000000,MID,0.818182,0.800000,0.050000,0.200750,2.779574,0.232957
Cameron Archer,Sheffield United,22.000000,1832.000000,13000000.000000,MID,0.196078,0.270000,0.140000,0.063048,0.872966,0.073164
Cameron Archer,Sheffield United,22.000000,1832.000000,13000000.000000,MID,0.196078,0.270000,0.140000,0.063048,0.872966,0.073164
Carlos Vinícius,Fulham,28.000000,315.000000,4000000.000000,LOW,0.571429,0.460000,0.230000,0.149471,6.725881,0.186899
Carlton Morris,Luton Town,27.000000,2862.000000,13000000.000000,MID,0.345912,0.360000,0.090000,0.091650,1.268979,0.106354
Carney Chukwuemeka,Chelsea,19.000000,227.000000,15000000.000000,MID,0.400000,0.060000,0.130000,0.085963,1.031543,0.098890
Cauley Woodrow,Luton Town,28.000000,427.000000,1000000.000000,LOW,0.212766,0.300000,0.250000,0.076581,13.782087,0.105366
Cesare Casadei,Chelsea,20.000000,79.000000,10000000.000000,LOW,0.000000,0.000000,0.120000,0.009459,0.170267,0.011156
Chris Wood,Nottingham Forest,31.000000,1812.000000,7000000.000000,LOW,0.696517,0.590000,0.100000,0.169789,4.365878,0.204767
Christopher Nkunku,Chelsea,25.000000,443.000000,65000000.000000,ELITE,0.612245,0.470000,0.050000,0.143248,0.396685,0.151358
Cody Gakpo,Liverpool,24.000000,1649.000000,50000000.000000,MID,0.437158,0.490000,0.160000,0.121642,0.437909,0.130431
Cole Palmer,Chelsea,21.000000,2607.000000,80000000.000000,ELITE,0.758621,0.630000,0.380000,0.205516,0.462410,0.214674
Cole Palmer,Chelsea,21.000000,2607.000000,80000000.000000,ELITE,0.758621,0.630000,0.380000,0.205516,0.462410,0.214674
Dane Scarlett,Tottenham Hotspur,19.000000,22.000000,1800000.000000,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Dango Ouattara,Bournemouth,21.000000,1229.000000,20000000.000000,MID,0.072993,0.190000,0.110000,0.033575,0.302168,0.037963
Daniel Jebbison,Sheffield United,19.000000,21.000000,1000000.000000,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Danny Ings,West Ham United,31.000000,404.000000,8000000.000000,LOW,0.222222,0.280000,0.060000,0.062067,1.396480,0.074225
Danny Welbeck,Brighton,32.000000,1693.000000,5000000.000000,LOW,0.265957,0.280000,0.090000,0.072304,2.602865,0.089102
Darwin Núñez,Liverpool,24.000000,2047.000000,70000000.000000,ELITE,0.484581,0.720000,0.270000,0.153090,0.393660,0.161095
